
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-02-10;21.048,96;5402299004238;23.816,92;4412855070978;23.057,12;6208908293663;42.866,33;843785780984;20.937,54;8123655264179
2010-02-11;21.015,29;5394822406844;23.793,30;4408753634732;23.021,23;6195761499417;42.825,72;843161275166;20.915,59;8115216519803
2010-02-12;21.048,41;5403301511393;23.829,63;4419381854530;23.056,25;6208533705831;42.892,17;844258767753;20.955,41;8130829976207
2010-02-13;21.048,41;5403301511393;23.829,63;4419381854530;23.056,25;6208533705831;42.892,17;844258767753;20.955,41;8130829976207
2010-02-14;21.048,41;5403301511393;23.829,63;4419381854530;23.056,25;6208533705831;42.892,17;844258767753;20.955,41;8130829976207
2010-02-15;21.027,87;5402381683286;23.813,02;4417969360391;23.038,82;6208499302119;42.885,14;842116150470;20.943,69;8136461318484
2010-02-16;21.003,65;5398510160826;23.805,88;4418851194593;23.020,04;6209541114114;42.877,30;843875643768;20.929,79;8130622340939
2010-02-17;21.110,64;5427528550476;23.929,88;4445524560495;23.155,94;6248156378382;43.078,44;848116883448;21.043,00;8178534914274
2010-02-18;21.230,00;5459357335875;24.056,95;4472032104823;23.270,82;6281080639619;43.294,15;852647596557;21.157,84;8226611245152
2010-02-19;21.290,06;5475695561676;24.107,64;4482979444877;23.335,96;6299024397186;43.376,58;854296742859;21.205,54;8245042940824
2010-02-20;21.290,06;5475695561676;24.107,64;4482979444877;23.335,96;6299024397186;43.376,58;854296742859;21.205,54;8245042940824
2010-02-21;21.290,06;5475695561676;24.107,64;4482979444877;23.335,96;6299024397186;43.376,58;854296742859;21.205,54;8245042940824
2010-02-22;21.281,10;5472926913746;24.087,48;4480169820988;23.317,18;6293714008316;43.355,76;853888378108;21.192,91;8238825720591
2010-02-23;21.284,70;5474446292124;24.106,98;4484565113995;23.334,55;6300221399272;43.377,02;854352635444;21.202,45;8242360655157
2010-02-24;21.214,34;5456700598275;24.022,10;4468627999052;23.251,99;6276431659143;43.252,93;851931726654;21.127,53;8213437291840
2010-02-25;21.223,56;5458361349330;24.031,77;4470935230578;23.249,46;6275391878652;43.260,14;852222651620;21.136,26;8217241578868
2010-02-26;21.150,78;5436782583294;23.946,85;4452096751573;23.165,70;6250403197752;43.142,97;848807827970;21.067,29;8191940033087
2010-02-27;21.150,78;5436782583294;23.946,85;4452096751573;23.165,70;6250403197752;43.142,97;848807827970;21.067,29;8191940033087
2010-02-28;21.150,78;5436782583294;23.946,85;4452096751573;23.165,70;6250403197752;43.142,97;848807827970;21.067,29;8191940033087
2010-03-01;21.231,73;5456003110180;24.054,51;4472616631829;23.257,03;6274826584615;43.286,84;849725489604;21.146,58;8218570327991
2010-03-02;21.241,03;5457603109498;24.075,70;4476638072817;23.269,36;6277949414877;43.280,01;849585102043;21.159,14;8220224103895
2010-03-03;21.297,85;5471183371422;24.161,61;4491795824854;23.357,65;6303612157870;43.421,88;853077793354;21.229,11;8247383420291
2010-03-04;21.272,91;5464384177305;24.151,13;4490077972461;23.354,23;6302865686486;43.427,45;852924424871;21.227,05;8246746799203
2010-03-05;21.260,17;5460915073478;24.122,97;4483839445204;23.330,75;6293832347498;43.425,12;852710324276;21.204,92;8239632233979
2010-03-06;21.260,17;5460915073478;24.122,97;4483839445204;23.330,75;6293832347498;43.425,12;852710324276;21.204,92;8239632233979
2010-03-07;21.260,17;5460915073478;24.122,97;4483839445204;23.330,75;6293832347498;43.425,12;852710324276;21.204,92;8239632233979
2010-03-08;21.345,09;5483267760213;24.204,88;4499191175298;23.412,81;6316615129118;43.543,81;855087015016;21.265,55;8263082750719
