
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-02-12;21.799,38;463528740661;23.234,68;430465249923;20.604,55;603860253863;37.430,78;54837118233;21.557,20;510025993433
2010-02-13;21.799,38;463528740661;23.234,68;430465249923;20.604,55;603860253863;37.430,78;54837118233;21.557,20;510025993433
2010-02-14;21.799,38;463528740661;23.234,68;430465249923;20.604,55;603860253863;37.430,78;54837118233;21.557,20;510025993433
2010-02-15;21.845,84;463273640777;23.295,16;430388428713;20.643,17;604223508481;37.476,31;54649958359;21.597,62;509998409375
2010-02-16;21.838,62;463026654673;23.294,86;429424273015;20.638,20;604230226668;37.481,91;54642561250;21.594,58;509650175958
2010-02-17;21.857,05;463124081003;23.326,64;429471320125;20.664,25;604941600803;37.517,70;54598255550;21.617,58;510014858646
2010-02-18;21.910,95;463893521061;23.339,62;429844711224;20.691,58;605957390568;37.560,45;54718144242;21.651,69;511002946745
2010-02-19;21.941,54;464636928838;23.359,84;429541575765;20.711,08;605385149386;37.593,05;54720784970;21.676,67;511281399484
2010-02-20;21.941,54;464636928838;23.359,84;429541575765;20.711,08;605385149386;37.593,05;54720784970;21.676,67;511281399484
2010-02-21;21.941,54;464636928838;23.359,84;429541575765;20.711,08;605385149386;37.593,05;54720784970;21.676,67;511281399484
2010-02-22;21.959,92;464060393332;23.371,12;428839167739;20.724,22;604484237635;37.620,16;54709126546;21.693,29;511162510266
2010-02-23;21.964,43;463893454777;23.385,65;428318029617;20.734,84;604580761020;37.634,81;54721081031;21.701,84;511242124247
2010-02-24;21.948,20;463794043651;23.372,53;427947525543;20.721,37;603709879268;37.615,55;54630750248;21.696,30;510658185005
2010-02-25;21.966,23;462877431598;23.389,53;427529394858;20.734,23;602556058400;37.652,43;54571428540;21.711,67;510662858527
2010-02-26;21.981,60;462348337549;23.412,28;427206808515;20.760,06;602221400434;37.658,74;54542049427;21.723,87;509843562178
2010-02-27;21.981,60;462348337549;23.412,28;427206808515;20.760,06;602221400434;37.658,74;54542049427;21.723,87;509843562178
2010-02-28;21.981,60;462348337549;23.412,28;427206808515;20.760,06;602221400434;37.658,74;54542049427;21.723,87;509843562178
2010-03-01;22.003,10;462052425612;23.452,91;427018145204;20.776,26;602848400265;37.688,27;54392728684;21.745,68;509550886056
2010-03-02;22.021,71;461675790469;23.467,73;426592816773;20.797,56;603113185229;37.717,41;54441181908;21.769,69;509508289696
2010-03-03;22.044,46;461701201902;23.501,57;427296314423;20.820,43;604100410880;37.780,20;54533655264;21.793,20;509828612836
2010-03-04;22.087,02;462649378971;23.542,06;428002340258;20.857,70;604779071373;37.853,50;54557019187;21.834,71;510833171295
2010-03-05;22.099,05;464170670228;23.528,89;432225616856;20.867,48;607820312894;37.861,70;54370783464;21.848,05;513452661242
2010-03-06;22.099,05;464170670228;23.528,89;432225616856;20.867,48;607820312894;37.861,70;54370783464;21.848,05;513452661242
2010-03-07;22.099,05;464170670228;23.528,89;432225616856;20.867,48;607820312894;37.861,70;54370783464;21.848,05;513452661242
2010-03-08;22.102,00;466387728531;23.557,04;435618059943;20.871,35;609750132012;37.879,27;54420154700;21.835,27;514980235073
2010-03-09;22.114,13;468327536184;23.568,43;437404038224;20.879,35;611335199578;37.890,48;54437664232;21.844,71;515229375824
2010-03-10;22.109,58;468548436997;23.564,69;437624560399;20.846,73;610346095482;37.869,31;54555573681;21.822,99;514024049299
2010-03-11;22.129,12;468110198010;23.566,48;436857774935;20.853,67;609979032027;37.869,98;54579516151;21.830,87;513992898506
2010-03-12;22.144,27;467331618800;23.575,45;436625952034;20.873,78;610133467479;37.876,23;54477382507;21.831,00;513559543393
2010-03-13;22.144,27;467331618800;23.575,45;436625952034;20.873,78;610133467479;37.876,23;54477382507;21.831,00;513559543393
2010-03-14;22.144,27;467331618800;23.575,45;436625952034;20.873,78;610133467479;37.876,23;54477382507;21.831,00;513559543393
2010-03-15;22.119,52;466818461643;23.538,28;435631144918;20.850,73;609033078743;37.818,75;54059639779;21.801,50;513259294494
2010-03-16;22.130,20;466150714624;23.535,06;435225325513;20.860,77;608323552430;37.836,77;54186570118;21.819,25;512976907691
2010-03-17;22.137,03;465679285944;23.540,32;434565356923;20.876,46;607224714123;37.829,55;54181906410;21.821,94;512609933544
2010-03-18;22.181,57;466852323976;23.564,63;434964015983;20.907,90;606444325370;37.875,54;54259381878;21.856,19;512381344840
2010-03-19;22.193,41;466282077111;23.583,72;433403064033;20.926,72;605915843292;37.920,10;54264939031;21.879,68;512643414459
2010-03-20;22.193,41;466282077111;23.583,72;433403064033;20.926,72;605915843292;37.920,10;54264939031;21.879,68;512643414459
2010-03-21;22.193,41;466282077111;23.583,72;433403064033;20.926,72;605915843292;37.920,10;54264939031;21.879,68;512643414459
2010-03-22;22.192,90;465858330152;23.601,03;433564008836;20.915,16;604744537667;37.930,57;54157882612;21.867,93;511552583916
2010-03-23;22.200,53;465346204876;23.616,47;433200537129;20.924,29;604750926708;37.948,45;54181275701;21.890,26;512575265653
2010-03-24;22.232,05;465530019415;23.643,68;433156519254;20.958,16;604083917477;37.984,85;54201517838;21.922,57;513097697483
2010-03-25;22.234,84;465931359068;23.647,23;432367272339;20.952,14;602513540907;37.994,67;54136912017;21.905,28;512313662174
2010-03-26;22.244,36;466171697518;23.651,77;432202762124;20.954,84;602301665541;38.004,64;54045013356;21.914,82;512625679386
2010-03-27;22.244,36;466171697518;23.651,77;432202762124;20.954,84;602301665541;38.004,64;54045013356;21.914,82;512625679386
2010-03-28;22.244,36;466171697518;23.651,77;432202762124;20.954,84;602301665541;38.004,64;54045013356;21.914,82;512625679386
2010-03-29;22.270,01;465708749837;23.685,26;432506615598;20.970,41;601749917837;38.037,19;54013616702;21.937,38;514477458568
2010-03-30;22.289,47;465076824883;23.702,43;432323793096;20.985,10;601203155685;38.072,58;54090151218;21.951,59;514684527372
2010-03-31;22.328,27;465176258584;23.739,20;432173387381;21.026,97;602040826409;38.118,54;54170260485;21.983,00;515093480809
2010-04-01;22.327,07;464732541375;23.733,24;430710150966;21.024,04;601202126134;38.115,19;53708860697;21.987,15;513312265379
2010-04-02;22.327,07;464732541375;23.733,24;430710150966;21.024,04;601202126134;38.115,19;53708860697;21.987,15;513312265379
2010-04-03;22.327,07;464732541375;23.733,24;430710150966;21.024,04;601202126134;38.115,19;53708860697;21.987,15;513312265379
2010-04-04;22.327,07;464732541375;23.733,24;430710150966;21.024,04;601202126134;38.115,19;53708860697;21.987,15;513312265379
2010-04-05;22.352,40;464692935870;23.755,90;429987978743;21.060,20;601199901938;38.154,13;54056995104;22.011,20;513371069530
2010-04-06;22.363,26;464116128618;23.778,33;429773028566;21.087,88;598680256433;38.180,30;53903215571;22.032,57;513164085743
2010-04-07;22.374,74;463036055546;23.777,60;429205455232;21.099,22;598536502451;38.174,54;53802156948;22.027,95;512756822077
2010-04-08;22.366,79;461708480330;23.783,79;427008867014;21.081,51;596118978013;38.175,55;53589099827;22.028,47;510945596339
2010-04-09;22.353,23;460808885800;23.775,08;425893656305;21.054,84;593643316361;38.143,55;53223670515;22.011,88;506514501468
2010-04-10;22.353,23;460808885800;23.775,08;425893656305;21.054,84;593643316361;38.143,55;53223670515;22.011,88;506514501468
2010-04-11;22.353,23;460808885800;23.775,08;425893656305;21.054,84;593643316361;38.143,55;53223670515;22.011,88;506514501468
2010-04-12;22.362,55;458640005584;23.787,24;423501709513;21.058,42;592356500573;38.157,17;53119223258;22.011,19;505310604294
2010-04-13;22.377,61;458530506680;23.792,52;422251406887;21.078,97;590934403113;38.153,61;52973301364;22.021,19;505164562483
