
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-02-10;22.665,69;3063551095011;22.879,72;3053919350191;23.030,32;2859487688543;21.763,60;250556389356;23.378,17;3351992032373
2010-02-11;22.635,73;3057051436528;22.886,87;3052049444579;22.999,06;2853010506686;21.774,90;250825971008;23.368,41;3349719163049
2010-02-12;22.740,67;3072271553838;22.986,16;3068366085073;23.136,86;2869293465534;21.891,92;252298371234;23.492,68;3366746652607
2010-02-13;22.740,67;3072271553838;22.986,16;3068366085073;23.136,86;2869293465534;21.891,92;252298371234;23.492,68;3366746652607
2010-02-14;22.740,67;3072271553838;22.986,16;3068366085073;23.136,86;2869293465534;21.891,92;252298371234;23.492,68;3366746652607
2010-02-15;22.646,63;3071471583809;22.937,83;3073357749974;23.063,45;2869930581411;21.842,87;248578119447;23.426,14;3364647916899
2010-02-16;22.584,47;3065058482212;22.912,73;3072372600590;23.034,04;2870421304912;21.828,56;254622080149;23.387,06;3359158356267
2010-02-17;22.822,35;3098743302474;23.121,89;3103050627857;23.312,64;2907784922895;22.038,20;257230451586;23.633,36;3396740810533
2010-02-18;23.048,58;3130526980891;23.355,57;3134302586005;23.503,84;2932506414710;22.242,52;259787694467;23.857,12;3430970654763
2010-02-19;23.181,65;3149511141732;23.449,65;3147553835877;23.634,36;2949945002510;22.324,36;260787929159;23.959,22;3446534912392
2010-02-20;23.181,65;3149511141732;23.449,65;3147553835877;23.634,36;2949945002510;22.324,36;260787929159;23.959,22;3446534912392
2010-02-21;23.181,65;3149511141732;23.449,65;3147553835877;23.634,36;2949945002510;22.324,36;260787929159;23.959,22;3446534912392
