
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-10-16;23.527,99;2848163039795;24.242,00;2538605170648;24.213,47;3709758895548;23.553,88;138884191051;24.001,89;323016967176;23.377,28;3610387857796
2012-10-17;23.611,98;2861547282770;24.326,89;2548762699375;24.296,48;3725004713936;23.644,62;141004204085;24.086,14;326244595996;23.464,17;3626808033331
2012-10-18;23.693,86;2872574626698;24.415,55;2558502859199;24.380,86;3739646603465;23.723,77;142730244835;24.163,63;327490102823;23.552,43;3643699019356
2012-10-19;23.737,60;2877734755129;24.460,29;2562776206953;24.431,87;3748905373487;23.772,84;143260448218;24.212,81;328177255324;23.592,42;3649367895782
2012-10-20;23.737,60;2877734755129;24.460,29;2562776206953;24.431,87;3748905373487;23.772,84;143260448218;24.212,81;328177255324;23.592,42;3649367895782
2012-10-21;23.737,60;2877734755129;24.460,29;2562776206953;24.431,87;3748905373487;23.772,84;143260448218;24.212,81;328177255324;23.592,42;3649367895782
2012-10-22;23.639,07;2866232766397;24.360,15;2552573005260;24.339,00;3734949595072;23.661,35;142642915783;24.115,40;326883849570;23.496,11;3634821392603
2012-10-23;23.640,64;2866944463440;24.354,79;2551742891150;24.336,19;3734116276559;23.651,85;143052527695;24.113,19;326904941068;23.496,72;3635016585324
2012-10-24;23.636,18;2866510555767;24.351,62;2551938467713;24.335,96;3735702773980;23.621,00;142942120406;24.107,96;326857108524;23.497,08;3635642283215
2012-10-25;23.663,98;2868053963848;24.371,94;2551632964198;24.356,25;3735096622817;23.643,94;142952447335;24.122,71;327070958918;23.525,13;3639206139832
2012-10-26;23.630,86;2863911172850;24.336,57;2547934956056;24.319,14;3728118819018;23.617,70;142815129367;24.093,77;326661642916;23.494,99;3634254246779
2012-10-27;23.630,86;2863911172850;24.336,57;2547934956056;24.319,14;3728118819018;23.617,70;142815129367;24.093,77;326661642916;23.494,99;3634254246779
2012-10-28;23.630,86;2863911172850;24.336,57;2547934956056;24.319,14;3728118819018;23.617,70;142815129367;24.093,77;326661642916;23.494,99;3634254246779
2012-10-29;23.617,71;2862333012736;24.326,21;2545239473721;24.307,91;3723753737190;23.592,40;142665466729;24.079,74;326464461066;23.477,15;3632148711812
2012-10-30;23.643,14;2865129267378;24.347,92;2546497934750;24.333,11;3726024196761;23.623,89;143550456178;24.105,90;326797532350;23.496,40;3633968600146
2012-10-31;23.624,77;2857566654670;24.328,41;2546570801353;24.315,24;3714398655954;23.607,95;143497613044;24.087,91;325725898557;23.475,82;3615081111396
2012-11-01;23.624,77;2857566654670;24.328,41;2546570801353;24.315,24;3714398655954;23.607,95;143497613044;24.087,91;325725898557;23.475,82;3615081111396
2012-11-02;23.624,77;2857566654670;24.328,41;2546570801353;24.315,24;3714398655954;23.607,95;143497613044;24.087,91;325725898557;23.475,82;3615081111396
2012-11-03;23.624,77;2857566654670;24.328,41;2546570801353;24.315,24;3714398655954;23.607,95;143497613044;24.087,91;325725898557;23.475,82;3615081111396
2012-11-04;23.624,77;2857566654670;24.328,41;2546570801353;24.315,24;3714398655954;23.607,95;143497613044;24.087,91;325725898557;23.475,82;3615081111396
2012-11-05;23.725,08;2869325131008;24.443,81;2555470212487;24.434,90;3730609002142;23.713,06;145499996574;24.203,52;324610649624;23.589,83;3628512432933
2012-11-06;23.742,96;2870702142317;24.456,08;2555801880426;24.446,97;3732966873983;23.706,37;145588997448;24.208,50;324688142627;23.608,47;3630647637179
2012-11-07;23.762,22;2872407099749;24.474,03;2557862863383;24.455,34;3735167610905;23.725,44;145762906947;24.221,06;327650015113;23.627,07;3633523164116
2012-11-08;23.633,91;2856347054620;24.355,57;2545558244169;24.338,05;3717080835999;23.610,78;145319115884;24.107,80;326165537883;23.510,53;3615372829442
2012-11-09;23.524,67;2843000665326;24.241,55;2533610976109;24.227,29;3699564688675;23.518,35;144945006068;24.014,00;325003266855;23.407,68;3599685965344
2012-11-10;23.524,67;2843000665326;24.241,55;2533610976109;24.227,29;3699564688675;23.518,35;144945006068;24.014,00;325003266855;23.407,68;3599685965344
2012-11-11;23.524,67;2843000665326;24.241,55;2533610976109;24.227,29;3699564688675;23.518,35;144945006068;24.014,00;325003266855;23.407,68;3599685965344
2012-11-12;23.519,86;2843013735759;24.233,65;2533243540622;24.226,51;3700297198594;23.515,38;145170546399;24.007,27;325015491183;23.397,42;3598290681232
2012-11-13;23.495,85;2841885716007;24.214,56;2532496825955;24.206,36;3699119926249;23.480,47;145554902266;23.990,73;324945505701;23.374,92;3597060916222
2012-11-14;23.485,04;2847036526416;24.201,98;2535733913014;24.195,79;3702850274600;23.474,96;147396474358;23.982,77;325499014295;23.369,26;3602368060574
